mem_pct,state
9.120000000000001,Alabama
20.066666666666666,Alaska
11.173333333333334,All States
5.626666666666667,Arizona
4.546666666666667,Arkansas
16.573333333333334,California
8.266666666666667,Colorado
15.886666666666667,Connecticut
10.493333333333334,Delaware
9.46,District of Columbia
5.826666666666667,Florida
4.326666666666667,Georgia
22.279999999999998,Hawaii
5.673333333333333,Idaho
15.04,Illinois
9.76,Indiana
9.133333333333333,Iowa
7.953333333333333,Kansas
9.326666666666666,Kentucky
5.0,Louisiana
11.82,Maine
11.586666666666668,Maryland
13.6,Massachusetts
15.773333333333333,Michigan
15.006666666666666,Minnesota
5.2733333333333325,Mississippi
9.6,Missouri
12.5,Montana
7.88,Nebraska
14.06,Nevada
10.266666666666667,New Hampshire
16.333333333333332,New Jersey
6.913333333333333,New Mexico
23.433333333333334,New York
2.9266666666666667,North Carolina
6.0600000000000005,North Dakota
12.926666666666668,Ohio
6.093333333333334,Oklahoma
15.8,Oregon
13.373333333333333,Pennsylvania
16.59333333333333,Rhode Island
2.8866666666666663,South Carolina
5.12,South Dakota
5.213333333333334,Tennessee
4.6866666666666665,Texas
4.673333333333333,Utah
11.639999999999999,Vermont
4.553333333333333,Virginia
18.973333333333336,Washington
11.82,West Virginia
10.6,Wisconsin
6.873333333333333,Wyoming
